,NAME,STATE,Homeless 2010,Homeless 2011,Homeless 2012,Homeless 2013,Homeless 2014,Homeless 2015,Homeless 2016,Homeless 2017,Population 2010,Population 2011,Population 2012,Population 2013,Population 2014,Population 2015,Population 2016,Population 2017
0,Alaska,AK,1863,2128,1913,1946,1784,1956,1940,1845,"713,906","722,038","730,399","737,045","736,307","737,547","741,504","739,786"
1,Alabama,AL,6046,5558,5209,4689,4561,3970,4111,3793,"4,785,448","4,798,834","4,815,564","4,830,460","4,842,481","4,853,160","4,864,745","4,875,120"
2,Arkansas,AR,2762,3424,4214,3812,2936,2560,2463,2467,"2,921,978","2,940,407","2,952,109","2,959,549","2,967,726","2,978,407","2,990,410","3,002,997"
3,Arizona,AZ,13711,10504,11302,10562,10495,9896,9707,8947,"6,407,774","6,473,497","6,556,629","6,634,999","6,733,840","6,833,596","6,945,452","7,048,876"
4,California,CA,123480,125128,120098,118552,113952,115738,118142,134278,"37,320,903","37,641,823","37,960,782","38,280,824","38,625,139","38,953,142","39,209,127","39,399,349"
5,Colorado,CO,15482,15116,16768,9754,10028,9953,10550,10940,"5,048,281","5,121,771","5,193,721","5,270,482","5,351,218","5,452,107","5,540,921","5,615,902"
6,Connecticut,CT,4316,4456,4209,4448,4450,4047,3902,3388,"3,579,125","3,588,023","3,594,395","3,594,915","3,594,783","3,587,509","3,578,674","3,573,880"
7,District of Columbia,DC,6539,6546,6954,6865,7748,7298,8350,7473,"605,085","619,602","634,725","650,431","662,513","675,254","686,575","695,691"
8,Delaware,DE,982,1035,1008,946,901,953,1070,994,"899,595","907,316","915,188","923,638","932,596","941,413","949,216","957,078"
9,Florida,FL,57551,56687,55170,47862,41542,35900,33559,32190,"18,845,785","19,093,352","19,326,230","19,563,166","19,860,330","20,224,249","20,629,982","20,976,812"
10,Georgia,GA,19836,20975,20516,16971,16521,13790,12909,10174,"9,711,810","9,801,578","9,901,496","9,973,326","10,069,001","10,181,111","10,304,763","10,413,055"
11,Hawaii,HI,5834,6188,6246,6335,6918,7620,7921,7220,"1,363,963","1,379,252","1,394,905","1,408,453","1,414,862","1,422,484","1,428,105","1,424,203"
12,Iowa,IA,3014,3134,2928,3084,3122,3081,3064,2756,"3,050,767","3,066,054","3,076,097","3,093,078","3,109,504","3,121,460","3,131,785","3,143,637"
13,Idaho,ID,2346,2199,1968,1781,2104,1966,2247,2037,"1,570,773","1,583,828","1,595,441","1,611,530","1,631,479","1,651,523","1,682,930","1,718,904"
14,Illinois,IL,14395,14009,14144,13425,13107,13177,11590,10798,"12,840,762","12,867,291","12,884,119","12,898,269","12,888,962","12,864,342","12,826,895","12,786,196"
15,Indiana,IN,6452,6196,6259,6096,5971,5863,5798,5438,"6,490,436","6,516,045","6,537,640","6,568,367","6,593,533","6,608,296","6,633,344","6,660,082"
16,Kansas,KS,1809,2308,2458,2331,2521,2348,2008,2098,"2,858,213","2,869,035","2,885,361","2,893,510","2,900,896","2,909,502","2,911,263","2,910,689"
17,Kentucky,KY,6623,6034,5230,5245,5089,4538,4237,4025,"4,348,200","4,369,488","4,386,381","4,404,817","4,414,483","4,425,999","4,438,229","4,453,874"
18,Louisiana,LA,12482,9291,7772,5226,4606,4081,3994,3305,"4,544,532","4,575,184","4,600,814","4,624,577","4,644,204","4,664,851","4,678,215","4,670,818"
19,Massachusetts,MA,16646,16664,17501,19029,21237,21135,19608,17565,"6,566,431","6,613,149","6,663,158","6,713,944","6,763,652","6,795,891","6,826,022","6,863,246"
20,Maryland,MD,10845,10208,9454,8205,7856,8390,7689,7247,"5,788,642","5,838,991","5,887,072","5,923,704","5,958,165","5,986,717","6,004,692","6,024,891"
21,Maine,ME,2379,2447,2393,3016,2726,2372,2241,2280,"1,327,632","1,328,150","1,327,691","1,328,196","1,330,760","1,328,484","1,331,370","1,335,063"
22,Michigan,MI,13058,13185,12592,11527,12227,10516,9316,9051,"9,877,535","9,881,521","9,896,930","9,913,349","9,930,589","9,932,573","9,951,890","9,976,447"
23,Minnesota,MN,7869,7495,7744,8214,8377,7546,7341,7668,"5,310,843","5,345,668","5,376,550","5,413,693","5,451,522","5,482,503","5,523,409","5,568,155"
24,Missouri,MO,8337,9192,10463,8943,7544,6722,6441,6226,"5,995,976","6,009,641","6,024,081","6,040,658","6,056,293","6,071,745","6,087,203","6,108,612"
25,Mississippi,MS,2743,2306,2413,2403,2226,1983,1738,1472,"2,970,536","2,978,470","2,983,767","2,988,797","2,990,623","2,988,693","2,988,298","2,989,663"
26,Montana,MT,1615,1768,1833,1878,1745,1709,1418,1529,"990,722","997,221","1,003,754","1,013,564","1,021,891","1,030,503","1,040,863","1,053,090"
27,North Carolina,NC,12191,12896,13524,12168,11491,10685,9559,8962,"9,574,293","9,656,754","9,749,123","9,843,599","9,933,944","10,033,079","10,156,679","10,270,800"
28,North Dakota,ND,799,603,688,2069,1258,1305,923,1089,"674,710","685,136","701,116","721,999","737,382","754,022","754,353","755,176"
29,Nebraska,NE,3877,3548,3789,3145,3026,2744,2754,2501,"1,829,536","1,840,538","1,853,323","1,865,414","1,879,522","1,891,507","1,905,924","1,917,575"
30,New Hampshire,NH,1574,1469,1496,1447,1376,1445,1366,1456,"1,316,777","1,319,815","1,323,962","1,326,408","1,333,223","1,336,294","1,342,373","1,349,767"
31,New Jersey,NJ,13737,14137,13025,12002,11671,10098,8895,8536,"8,799,624","8,827,783","8,845,483","8,858,362","8,866,780","8,870,869","8,874,516","8,888,543"
32,New Mexico,NM,3475,3601,3245,2819,2746,2629,2263,2482,"2,064,588","2,080,395","2,087,549","2,092,792","2,090,342","2,090,211","2,092,789","2,093,395"
33,Nevada,NV,11205,9150,8497,7039,8582,8743,7398,7833,"2,702,464","2,712,799","2,744,566","2,776,972","2,819,012","2,868,666","2,919,772","2,972,405"
34,New York,NY,65606,63445,69566,77430,80590,88250,86352,89503,"19,400,080","19,498,514","19,574,549","19,628,043","19,656,330","19,661,411","19,641,589","19,590,719"
35,Ohio,OH,12569,13030,13977,12325,11823,11182,10404,10095,"11,539,327","11,543,463","11,548,369","11,576,576","11,602,973","11,617,850","11,635,003","11,664,129"
36,Oklahoma,OK,5229,4625,5032,4408,4191,3777,4107,4199,"3,759,632","3,787,821","3,818,600","3,853,205","3,878,367","3,909,831","3,926,769","3,932,640"
37,Oregon,OR,19492,17254,15828,13822,12164,13226,13238,13953,"3,837,532","3,871,728","3,899,118","3,922,908","3,964,106","4,016,918","4,091,404","4,146,592"
38,Pennsylvania,PA,14516,15096,14736,15086,15333,15421,15339,14138,"12,711,158","12,744,583","12,766,827","12,776,621","12,789,101","12,785,759","12,783,538","12,790,447"
39,Rhode Island,RI,1282,1070,1277,1384,1190,1111,1160,1180,"1,053,938","1,053,536","1,054,601","1,055,122","1,056,017","1,056,173","1,057,063","1,056,486"
40,South Carolina,SC,4473,5093,4915,6544,5057,5354,5051,3916,"4,635,656","4,671,422","4,717,112","4,764,153","4,823,793","4,892,253","4,958,235","5,021,219"
41,South Dakota,SD,731,826,859,1094,885,1036,1072,943,"816,165","823,484","833,496","842,270","849,088","853,933","862,890","873,286"
42,Tennessee,TN,10276,9113,9426,9528,9415,9123,8779,8309,"6,355,301","6,397,410","6,451,281","6,493,432","6,540,826","6,590,808","6,645,011","6,708,794"
43,Texas,TX,35121,36911,34052,29615,28495,23678,23122,23548,"25,242,679","25,646,227","26,089,620","26,489,464","26,977,142","27,486,814","27,937,492","28,322,717"
44,Utah,UT,3284,3130,3527,3277,3081,3025,2807,2852,"2,775,334","2,814,216","2,853,467","2,897,927","2,937,399","2,982,497","3,042,613","3,103,118"
45,Virginia,VA,9080,8816,8424,7625,7020,7001,6268,6067,"8,023,680","8,100,469","8,185,229","8,253,053","8,312,076","8,362,907","8,410,946","8,465,207"
46,Vermont,VT,1220,1144,1160,1454,1559,1523,1117,1225,"625,880","626,979","626,063","626,212","625,218","625,197","623,644","624,525"
47,Washington,WA,22878,20439,20504,17760,18442,19419,20827,21112,"6,742,902","6,821,655","6,892,876","6,962,906","7,052,439","7,163,543","7,294,680","7,425,432"
48,Wisconsin,WI,6333,5785,6027,6104,6055,6057,5685,5027,"5,690,479","5,704,755","5,719,855","5,736,952","5,751,974","5,761,406","5,772,958","5,792,051"
49,West Virginia,WV,2264,2211,2410,2240,2013,1835,1387,1309,"1,854,214","1,856,074","1,856,764","1,853,873","1,849,467","1,841,996","1,830,929","1,817,048"
50,Wyoming,WY,579,1038,1813,953,757,798,857,873,"564,483","567,224","576,270","582,123","582,548","585,668","584,290","578,934"
